Наименование,Количество
Блок питания 100W 12В,1 шт
Болт М8х200,1 шт
Болт М8х35,2 шт
Болт М8х40,4 шт
Вентилятор 40х40х20 12в,1 шт
Вилка угловая 16А,1 шт
Винт М3х10,10 шт
Винт М3х12,10 шт
Винт М3х16,5 шт
"Винт M8x8x120мм, головка: Цилиндрическая",1 шт
Гайка М3,20 шт
Гайка М8,3 шт
Гнездо питания C8 сетевое для аппаратуры на корпус 250V 10А,1 шт
Клемма соединительная быстрозажимная на 2 контакта,1 шт
Клемма соединительная быстрозажимная на 5 контактов,2 шт
"Колодка 4м 16Д 3,5кВт",1 шт
"Колодка КЭВ 3-12 3А 1-2,5мм 12 пар",1 шт
Контроллер температуры H50TR -40~300℃,1 шт
Нагревательный блок 12В 50w 6х20мм,1 шт
Перчатки трикотажные ,1 шт
Пластик для 3D принтера 1кг,1 шт
Пластина соединительная 2мм 40х100,1 шт
Подшипник 608Z,2 шт
"Провод ПВС 3х1,5",1 шт
Профиль конструкционный 30х30H 300мм,2 шт
Сверло по металлу 1.7 мм кобальтовое,1 шт
"Сетевой кабель питания С7 1,5м",1 шт
Сопло латунное для 3D принтера 0.6 мм,3 шт
Термистор NTC 100K Ом 3950 с разъемом XH2.54-2P без оболочки (капля),1 шт
Тумблер кнопка выключатель круглый 3А 250В 2pin (Диаметр 16мм),1 шт
Уголок 40х40х20 мм,1 шт
Червячный мотор-редуктор постоянного тока 12 В 8 мм 6 об/мин,1 шт
Шайба оцинкованная М8,4 шт
ШИМ PWM контроллер регулятор скорости двигателя постоянного тока DC4.5V-35V 5A 90 Вт 12В с выключателем XK-1074,1 шт
